frame_index,filename,timestamp_seconds,timestamp_clock,segment,script_text
1,frame_000001_00-00-00-000.jpg,0.000,00:00:00.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
2,frame_000002_00-00-01-000.jpg,1.000,00:00:01.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
3,frame_000003_00-00-02-000.jpg,2.000,00:00:02.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
4,frame_000004_00-00-03-000.jpg,3.000,00:00:03.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
5,frame_000005_00-00-04-000.jpg,4.000,00:00:04.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
6,frame_000006_00-00-05-000.jpg,5.000,00:00:05.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
7,frame_000007_00-00-06-000.jpg,6.000,00:00:06.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
8,frame_000008_00-00-07-000.jpg,7.000,00:00:07.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
9,frame_000009_00-00-08-000.jpg,8.000,00:00:08.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
10,frame_000010_00-00-09-000.jpg,9.000,00:00:09.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
11,frame_000011_00-00-10-000.jpg,10.000,00:00:10.000,Quote mở đầu (Hermann Weyl),"""The introduction of numbers as coordinates is an act of violence."" - Hermann Weyl."
12,frame_000012_00-00-11-000.jpg,11.000,00:00:11.000,Vector là building block — 3 góc nhìn,"The fundamental, root of it all building block for linear algebra is the vector. There are three distinct but related ideas about vectors: the physics student perspective, the computer science student perspective, and the mathematician's perspective."
13,frame_000013_00-00-12-000.jpg,12.000,00:00:12.000,Vector là building block — 3 góc nhìn,"The fundamental, root of it all building block for linear algebra is the vector. There are three distinct but related ideas about vectors: the physics student perspective, the computer science student perspective, and the mathematician's perspective."
14,frame_000014_00-00-13-000.jpg,13.000,00:00:13.000,Vector là building block — 3 góc nhìn,"The fundamental, root of it all building block for linear algebra is the vector. There are three distinct but related ideas about vectors: the physics student perspective, the computer science student perspective, and the mathematician's perspective."
15,frame_000015_00-00-14-000.jpg,14.000,00:00:14.000,Vector là building block — 3 góc nhìn,"The fundamental, root of it all building block for linear algebra is the vector. There are three distinct but related ideas about vectors: the physics student perspective, the computer science student perspective, and the mathematician's perspective."
16,frame_000016_00-00-15-000.jpg,15.000,00:00:15.000,Vector là building block — 3 góc nhìn,"The fundamental, root of it all building block for linear algebra is the vector. There are three distinct but related ideas about vectors: the physics student perspective, the computer science student perspective, and the mathematician's perspective."
17,frame_000017_00-00-16-000.jpg,16.000,00:00:16.000,Vector là building block — 3 góc nhìn,"The fundamental, root of it all building block for linear algebra is the vector. There are three distinct but related ideas about vectors: the physics student perspective, the computer science student perspective, and the mathematician's perspective."
18,frame_000018_00-00-17-000.jpg,17.000,00:00:17.000,Vector là building block — 3 góc nhìn,"The fundamental, root of it all building block for linear algebra is the vector. There are three distinct but related ideas about vectors: the physics student perspective, the computer science student perspective, and the mathematician's perspective."
19,frame_000019_00-00-18-000.jpg,18.000,00:00:18.000,Vector là building block — 3 góc nhìn,"The fundamental, root of it all building block for linear algebra is the vector. There are three distinct but related ideas about vectors: the physics student perspective, the computer science student perspective, and the mathematician's perspective."
