frame_index,filename,timestamp_seconds,timestamp_clock,segment,script_text
1,frame_000001_00-00-00-000.jpg,0.000,00:00:00.000,Mở đầu,"Chào các bạn. Hôm nay chúng ta lại tiếp tục với một điều tưởng chừng rất hiển nhiên: Âm nhân âm bằng dương. Chắc chắn bạn biết nó đúng mà không cần nghĩ. Nhưng có thể bạn chưa từng dừng lại để hỏi: Tại sao lại như vậy? Hỏi xung quanh bạn sẽ thấy đủ kiểu trả lời. Có người bảo 'quy ước thế thôi'. Có người vẽ ra hình ảnh nợ nần, tài sản. Có người nói 'đi lùi rồi quay đầu thì lại đi tới'. Nhưng câu hỏi thật sự: những cách đó là chứng minh, hay chỉ giúp bạn dễ nhớ? Hôm nay mình muốn làm rõ: Âm nhân âm bằng dương không phải quy ước ai đó đặt ra cho có. Nó là kết quả tất yếu khi bạn muốn số âm hoạt động như số bình thường."
2,frame_000002_00-00-01-000.jpg,1.000,00:00:01.000,Mở đầu,"Chào các bạn. Hôm nay chúng ta lại tiếp tục với một điều tưởng chừng rất hiển nhiên: Âm nhân âm bằng dương. Chắc chắn bạn biết nó đúng mà không cần nghĩ. Nhưng có thể bạn chưa từng dừng lại để hỏi: Tại sao lại như vậy? Hỏi xung quanh bạn sẽ thấy đủ kiểu trả lời. Có người bảo 'quy ước thế thôi'. Có người vẽ ra hình ảnh nợ nần, tài sản. Có người nói 'đi lùi rồi quay đầu thì lại đi tới'. Nhưng câu hỏi thật sự: những cách đó là chứng minh, hay chỉ giúp bạn dễ nhớ? Hôm nay mình muốn làm rõ: Âm nhân âm bằng dương không phải quy ước ai đó đặt ra cho có. Nó là kết quả tất yếu khi bạn muốn số âm hoạt động như số bình thường."
3,frame_000003_00-00-02-000.jpg,2.000,00:00:02.000,Mở đầu,"Chào các bạn. Hôm nay chúng ta lại tiếp tục với một điều tưởng chừng rất hiển nhiên: Âm nhân âm bằng dương. Chắc chắn bạn biết nó đúng mà không cần nghĩ. Nhưng có thể bạn chưa từng dừng lại để hỏi: Tại sao lại như vậy? Hỏi xung quanh bạn sẽ thấy đủ kiểu trả lời. Có người bảo 'quy ước thế thôi'. Có người vẽ ra hình ảnh nợ nần, tài sản. Có người nói 'đi lùi rồi quay đầu thì lại đi tới'. Nhưng câu hỏi thật sự: những cách đó là chứng minh, hay chỉ giúp bạn dễ nhớ? Hôm nay mình muốn làm rõ: Âm nhân âm bằng dương không phải quy ước ai đó đặt ra cho có. Nó là kết quả tất yếu khi bạn muốn số âm hoạt động như số bình thường."
4,frame_000004_00-00-03-000.jpg,3.000,00:00:03.000,Mở đầu,"Chào các bạn. Hôm nay chúng ta lại tiếp tục với một điều tưởng chừng rất hiển nhiên: Âm nhân âm bằng dương. Chắc chắn bạn biết nó đúng mà không cần nghĩ. Nhưng có thể bạn chưa từng dừng lại để hỏi: Tại sao lại như vậy? Hỏi xung quanh bạn sẽ thấy đủ kiểu trả lời. Có người bảo 'quy ước thế thôi'. Có người vẽ ra hình ảnh nợ nần, tài sản. Có người nói 'đi lùi rồi quay đầu thì lại đi tới'. Nhưng câu hỏi thật sự: những cách đó là chứng minh, hay chỉ giúp bạn dễ nhớ? Hôm nay mình muốn làm rõ: Âm nhân âm bằng dương không phải quy ước ai đó đặt ra cho có. Nó là kết quả tất yếu khi bạn muốn số âm hoạt động như số bình thường."
5,frame_000005_00-00-04-000.jpg,4.000,00:00:04.000,Mở đầu,"Chào các bạn. Hôm nay chúng ta lại tiếp tục với một điều tưởng chừng rất hiển nhiên: Âm nhân âm bằng dương. Chắc chắn bạn biết nó đúng mà không cần nghĩ. Nhưng có thể bạn chưa từng dừng lại để hỏi: Tại sao lại như vậy? Hỏi xung quanh bạn sẽ thấy đủ kiểu trả lời. Có người bảo 'quy ước thế thôi'. Có người vẽ ra hình ảnh nợ nần, tài sản. Có người nói 'đi lùi rồi quay đầu thì lại đi tới'. Nhưng câu hỏi thật sự: những cách đó là chứng minh, hay chỉ giúp bạn dễ nhớ? Hôm nay mình muốn làm rõ: Âm nhân âm bằng dương không phải quy ước ai đó đặt ra cho có. Nó là kết quả tất yếu khi bạn muốn số âm hoạt động như số bình thường."
6,frame_000006_00-00-05-000.jpg,5.000,00:00:05.000,Mở đầu,"Chào các bạn. Hôm nay chúng ta lại tiếp tục với một điều tưởng chừng rất hiển nhiên: Âm nhân âm bằng dương. Chắc chắn bạn biết nó đúng mà không cần nghĩ. Nhưng có thể bạn chưa từng dừng lại để hỏi: Tại sao lại như vậy? Hỏi xung quanh bạn sẽ thấy đủ kiểu trả lời. Có người bảo 'quy ước thế thôi'. Có người vẽ ra hình ảnh nợ nần, tài sản. Có người nói 'đi lùi rồi quay đầu thì lại đi tới'. Nhưng câu hỏi thật sự: những cách đó là chứng minh, hay chỉ giúp bạn dễ nhớ? Hôm nay mình muốn làm rõ: Âm nhân âm bằng dương không phải quy ước ai đó đặt ra cho có. Nó là kết quả tất yếu khi bạn muốn số âm hoạt động như số bình thường."
7,frame_000007_00-00-06-000.jpg,6.000,00:00:06.000,Mở đầu,"Chào các bạn. Hôm nay chúng ta lại tiếp tục với một điều tưởng chừng rất hiển nhiên: Âm nhân âm bằng dương. Chắc chắn bạn biết nó đúng mà không cần nghĩ. Nhưng có thể bạn chưa từng dừng lại để hỏi: Tại sao lại như vậy? Hỏi xung quanh bạn sẽ thấy đủ kiểu trả lời. Có người bảo 'quy ước thế thôi'. Có người vẽ ra hình ảnh nợ nần, tài sản. Có người nói 'đi lùi rồi quay đầu thì lại đi tới'. Nhưng câu hỏi thật sự: những cách đó là chứng minh, hay chỉ giúp bạn dễ nhớ? Hôm nay mình muốn làm rõ: Âm nhân âm bằng dương không phải quy ước ai đó đặt ra cho có. Nó là kết quả tất yếu khi bạn muốn số âm hoạt động như số bình thường."
8,frame_000008_00-00-07-000.jpg,7.000,00:00:07.000,Mở đầu,"Chào các bạn. Hôm nay chúng ta lại tiếp tục với một điều tưởng chừng rất hiển nhiên: Âm nhân âm bằng dương. Chắc chắn bạn biết nó đúng mà không cần nghĩ. Nhưng có thể bạn chưa từng dừng lại để hỏi: Tại sao lại như vậy? Hỏi xung quanh bạn sẽ thấy đủ kiểu trả lời. Có người bảo 'quy ước thế thôi'. Có người vẽ ra hình ảnh nợ nần, tài sản. Có người nói 'đi lùi rồi quay đầu thì lại đi tới'. Nhưng câu hỏi thật sự: những cách đó là chứng minh, hay chỉ giúp bạn dễ nhớ? Hôm nay mình muốn làm rõ: Âm nhân âm bằng dương không phải quy ước ai đó đặt ra cho có. Nó là kết quả tất yếu khi bạn muốn số âm hoạt động như số bình thường."
9,frame_000009_00-00-08-000.jpg,8.000,00:00:08.000,Mở đầu,"Chào các bạn. Hôm nay chúng ta lại tiếp tục với một điều tưởng chừng rất hiển nhiên: Âm nhân âm bằng dương. Chắc chắn bạn biết nó đúng mà không cần nghĩ. Nhưng có thể bạn chưa từng dừng lại để hỏi: Tại sao lại như vậy? Hỏi xung quanh bạn sẽ thấy đủ kiểu trả lời. Có người bảo 'quy ước thế thôi'. Có người vẽ ra hình ảnh nợ nần, tài sản. Có người nói 'đi lùi rồi quay đầu thì lại đi tới'. Nhưng câu hỏi thật sự: những cách đó là chứng minh, hay chỉ giúp bạn dễ nhớ? Hôm nay mình muốn làm rõ: Âm nhân âm bằng dương không phải quy ước ai đó đặt ra cho có. Nó là kết quả tất yếu khi bạn muốn số âm hoạt động như số bình thường."
10,frame_000010_00-00-09-000.jpg,9.000,00:00:09.000,Mở đầu,"Chào các bạn. Hôm nay chúng ta lại tiếp tục với một điều tưởng chừng rất hiển nhiên: Âm nhân âm bằng dương. Chắc chắn bạn biết nó đúng mà không cần nghĩ. Nhưng có thể bạn chưa từng dừng lại để hỏi: Tại sao lại như vậy? Hỏi xung quanh bạn sẽ thấy đủ kiểu trả lời. Có người bảo 'quy ước thế thôi'. Có người vẽ ra hình ảnh nợ nần, tài sản. Có người nói 'đi lùi rồi quay đầu thì lại đi tới'. Nhưng câu hỏi thật sự: những cách đó là chứng minh, hay chỉ giúp bạn dễ nhớ? Hôm nay mình muốn làm rõ: Âm nhân âm bằng dương không phải quy ước ai đó đặt ra cho có. Nó là kết quả tất yếu khi bạn muốn số âm hoạt động như số bình thường."
