frame_index,filename,timestamp_seconds,timestamp_clock,segment,script_text
1,frame_000001_00-00-00-000.jpg,0.000,00:00:00.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
2,frame_000002_00-00-01-000.jpg,1.000,00:00:01.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
3,frame_000003_00-00-02-000.jpg,2.000,00:00:02.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
4,frame_000004_00-00-03-000.jpg,3.000,00:00:03.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
5,frame_000005_00-00-04-000.jpg,4.000,00:00:04.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
6,frame_000006_00-00-05-000.jpg,5.000,00:00:05.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
7,frame_000007_00-00-06-000.jpg,6.000,00:00:06.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
8,frame_000008_00-00-07-000.jpg,7.000,00:00:07.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
9,frame_000009_00-00-08-000.jpg,8.000,00:00:08.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
10,frame_000010_00-00-09-000.jpg,9.000,00:00:09.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
11,frame_000011_00-00-10-000.jpg,10.000,00:00:10.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
12,frame_000012_00-00-11-000.jpg,11.000,00:00:11.000,Mở đầu,"Chào mọi người. Ở đây có ai dành một tình cảm đặc biệt cho hình học không? Hình học từ lâu đã là một phần quan trọng trong toán học, không chỉ vì các công thức mà còn bởi cách các ý tưởng liên kết chặt chẽ với nhau. Từ những khái niệm rất cơ bản, người ta có thể xây dựng nên cả một hệ thống định lý phong phú và sâu sắc. Điều thú vị của hình học nằm ở quá trình khám phá. Trong video này, chúng ta sẽ lần lượt đi qua những nền tảng quan trọng nhất của hình học phẳng."
